iso3,country_name,region,income_level,gdp,population,task_count,mean_task_exposure,substitution_share,augmentation_share,sub_only_share,both_share,aug_only_share,neither_share,share_exposed,share_high_exposure,task_exposure_sd,substitution_minus_augmentation,llm_dominant_share,robotics_physical_dominant_share,software_rules_dominant_share,domain_tools_dominant_share,turnkey_share,configure_and_train_share,integration_and_data_share,capex_and_governance_share,goods_projected_trade_value_usd,goods_trade_automation_intensity,goods_trade_value_usd_exposed,goods_autonomous_execution_trade_share,goods_human_uses_tool_trade_share,goods_supervised_machine_trade_share,unclear_or_context_dependent_x,goods_total_trade_value_usd,services_projected_trade_value_usd,services_trade_automation_intensity,services_human_uses_tool_trade_share,unclear_or_context_dependent_y,services_total_trade_value_usd,goods_trade_value_per_capita_exposed,goods_trade_openness,services_trade_openness,gdp_per_capita,log_gdp_per_capita,log_population,manufacturing_value_added_pct_gdp,manufacturing_value_added_pct_gdp_source_year,trade_pct_gdp,trade_pct_gdp_source_year,internet_users_pct,internet_users_pct_source_year,fixed_broadband_per_100,fixed_broadband_per_100_source_year
IND,India,South Asia,Lower middle income,3909891533858.08,1450935791.0,18797,1.380752247699101,0.18220992711602915,0.03995318401872639,0.18220992711602915,0.2789274884290046,0.03995318401872639,0.4989094004362398,0.5008245996701601,0.10778315688673724,0.952395561235063,0.14225674309730277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628552640272.0,1.3974982578736452,269737920796.0,0.00039924978581174056,0.9216162061578811,0.005446234944647793,0.07253830911165941,466750938085.0,,,,,,185.90617342900737,0.119376953054356,,2694.737808599609,7.899056190521105,21.095474558318678,12.6085653310554,2024.0,44.6492935069676,2024.0,55.9,2022.0,2.74535,2023
CHN,China,East Asia & Pacific,Upper middle income,18743803170827.2,1408975000.0,18796,1.6513087891040648,0.26021493934879764,0.0483081506703554,0.26021493934879764,0.3077250478825282,0.0483081506703554,0.3837518620983188,0.6160885294743562,0.19876569482868695,0.9755654311194061,0.21190678867844223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10355952874263.0,2.021255115317881,7215399581244.0,0.00031056813468059437,0.9251079529414916,0.003368315527843926,0.07121316339598388,3442811217180.0,,,,,,5121.027400233503,0.18367730314936198,,13303.148154386841,9.495755989537386,21.066128326625346,24.8692407436614,2024.0,37.1984201388065,2024.0,92.0,2024.0,44.7289,2023
USA,United States,North America,High income,28750956130731.2,340110988.0,18797,1.6021173591530564,0.224982710006916,0.052135979145608344,0.224982710006916,0.30547427781028885,0.052135979145608344,0.4174070330371868,0.5820609671756132,0.1781135287545885,0.9549415563389592,0.17284673086130764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4689415173250.0,1.7422036650655177,2753352371776.0,0.00045233666153084623,0.9126922601908908,0.006520780552430264,0.08033462259514815,1924935989604.0,1437122214000000.0,1.8784784270268053,0.5132217545484664,0.4867782454515336,6118317000000.0,8095.452569665288,0.0669520686842996,0.2128039489253813,84534.04078415484,11.34490958173981,19.64478255760019,10.7103708073141,2021.0,25.3786342507088,2024.0,93.1444,2023.0,38.1475,2023
IDN,Indonesia,East Asia & Pacific,Upper middle income,1396300098190.97,283487931.0,18795,1.3105081138600692,0.17110933758978453,0.034636871508379886,0.17110933758978453,0.26762436818302743,0.034636871508379886,0.5266294227188082,0.47315775472200056,0.08762968874700719,0.9433508688706567,0.13647246608140465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196564705620.0,1.4559049661399737,93802114152.0,0.0005004837297199417,0.9101373517474302,0.0016055134109889244,0.08775665111186098,293706185119.0,,,,,,330.88574113583695,0.2103460319880535,,4925.430487518603,8.502166958419496,19.462680108797322,18.9840269851832,2024.0,42.572647301834,2024.0,72.7808,2024.0,4.81664,2023
PAK,Pakistan,South Asia,Lower middle income,371570000121.266,251269164.0,18797,1.086556365377454,0.13417034633186148,0.02505718997712401,0.13417034633186148,0.22343991062403576,0.02505718997712401,0.6173325530669788,0.38266744693302124,0.04154918338032665,0.9151411135024695,0.10911315635473746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8471348616.0,0.9847538477219481,1095199708.0,5.434400363721261e-05,0.9181524762550275,0.0030583288652608082,0.07873485087607449,36650765814.0,,,,,,4.358671356903946,0.0986375805421283,,1478.7727797799573,7.298967819927931,19.342035289055662,13.1538180941054,2024.0,27.5784683520695,2024.0,27.3759,2023.0,1.35622,2023
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,252261880141.151,232679478.0,18797,0.963026014789594,0.11650795339681864,0.01931159227536309,0.11650795339681864,0.1968931212427515,0.01931159227536309,0.6672873330850667,0.33271266691493323,0.028461988615204555,0.9027071495888084,0.09719636112145555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3344795587.0,1.1878637521055782,1268382440.0,0.00014610130493454277,0.9401174685297742,0.0011850532855896166,0.058551376879701675,62817452147.0,,,,,,5.451200298807615,0.24901682375415193,,1084.1604180543632,6.988561158185597,19.265172433579874,8.65727818020008,2024.0,,,39.2136,2023.0,0.0512838,2023
BRA,Brazil,Latin America & Caribbean,Upper middle income,2185821648943.86,211998573.0,18791,1.469533287211963,0.20334202543770954,0.04331860997285935,0.20334202543770954,0.28907455696876166,0.04331860997285935,0.46426480762066946,0.5355223245170561,0.1321377255068916,0.953729917770038,0.1600234154648502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251152144059.0,1.5878726383292014,130810414743.0,0.0008233671138854436,0.909746293686129,0.0035230224345293333,0.0859073167654562,350931653774.0,,,,,,617.0344115618175,0.16054907953883715,,10310.54887781655,9.24092281301553,19.172090101481558,12.1108065155746,2024.0,35.5845239385389,2024.0,84.4635,2024.0,22.4192,2023
BGD,Bangladesh,South Asia,Lower middle income,450119432068.852,173562364.0,18797,0.9677608128956748,0.11831675267329893,0.017981592807362876,0.11831675267329893,0.1968399212640315,0.017981592807362876,0.6668617332553067,0.33308506676597327,0.02537638984944406,0.8937983636418788,0.10033515986593605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2508443386.0,0.7567676976864408,406366874.0,2.2604456738574366e-05,0.924276168216459,0.0015720825201832958,0.07412914480661913,57501111153.0,,,,,,2.341330600912995,0.12774634254004927,,2593.416116807743,7.860731249643073,18.972047539451584,21.8929603584194,2024.0,26.7780758040478,2024.0,44.5027,2023.0,7.89246,2023
RUS,Russian Federation,Europe & Central Asia,High income,2173835806671.66,143533851.0,18794,1.474140683196765,0.21395126104075768,0.0398531446206236,0.21395126104075768,0.286793657550282,0.0398531446206236,0.4594019367883367,0.5404916462700862,0.13541555815685857,0.9610907628879527,0.17409811642013406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70302194867.0,1.6482960613850446,38712545317.0,0.0005572080085708372,0.9057499632189968,0.0023066774559000343,0.09138615131653227,405893458544.0,,,,,,269.71021154445305,0.1867176248078551,,15145.108917001467,9.62543291504997,18.782081460815373,13.2536575793102,2024.0,39.5081647660396,2024.0,94.365,2024.0,25.8239,2023
ETH,Ethiopia,Sub-Saharan Africa,Not classified,149740297952.986,132059767.0,18797,0.7179869128052349,0.0868755652497739,0.009682396127041549,0.0868755652497739,0.12427515028993988,0.009682396127041549,0.7791668883332447,0.22083311166675534,0.00930999627600149,0.825462242796822,0.07719316912273234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409113662.0,0.7149744865648744,173651937.0,9.63655407380473e-06,0.8508755250433446,0.0018096616822099905,0.1473051767203716,3935952728.0,,,,,,1.3149495939970877,0.02628519364396999,,1133.8827968171865,7.033403125169596,18.698765158379604,4.39391406328772,2024.0,17.4004358583187,2024.0,16.6981,2021.0,0.451577,2022
MEX,Mexico,Latin America & Caribbean,Upper middle income,1856365616165.94,130861007.0,18796,1.416631198127261,0.19184932964460524,0.03926367312194084,0.19184932964460524,0.2847946371568419,0.03926367312194084,0.48409236007661205,0.5158012343051713,0.11529048733773144,0.9500271914956172,0.1525856565226644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2164055740097.0,1.5766274879172322,1062404960173.0,0.0007638104538499135,0.9178153133878945,0.0018217637202927542,0.07959911243796285,620675684514.0,,,,,,8118.575460549528,0.3343499142135145,,14185.78122485287,9.559995419737916,18.689646302623085,19.8017537671375,2024.0,74.5889079825143,2024.0,81.1832,2023.0,20.0882,2023
JPN,Japan,East Asia & Pacific,High income,4027597523550.58,123975371.0,18796,1.5974143434773356,0.22196211959991488,0.05304320068099596,0.22196211959991488,0.32033411364120024,0.05304320068099596,0.4046605660778889,0.5949670142583529,0.16141732283464566,0.9387678512739435,0.16891891891891891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520868467252.0,1.9096045808092452,1726218348317.0,0.0013019574843497405,0.8916772631867339,0.01657613723160702,0.09044464209730937,751940636391.0,119582345000000.0,1.8958118190440236,0.5103233622406166,0.4896766377593834,748894000000.0,13923.88128700982,0.1866970649361501,0.18594062480697002,32487.077804756722,10.388597683244116,18.635593482873812,20.5810487191941,2023.0,46.4069516150859,2024.0,86.9815,2023.0,38.6312,2023
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,389059911003.566,116538258.0,18797,1.2836622865350853,0.16704793318082672,0.03596318561472575,0.16704793318082672,0.2604670958131617,0.03596318561472575,0.5365217853912858,0.46331861467255414,0.07841676863329254,0.9360436552537922,0.13108474756610097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27710736520.0,1.1389527752977964,7998207630.0,4.25464331902211e-05,0.916132893930024,0.0015983092678909423,0.08222625036889493,52092214007.0,,,,,,68.63160448133694,0.13389252537643886,,3338.473713958947,8.113269009658703,18.57373017191003,13.8934615296088,2024.0,39.6007520873733,2024.0,72.6899,2023.0,10.8645,2023
