iso3,country_name,income_level,ilostat_year,exposed_SEX_F,exposed_SEX_M,sub_SEX_F,sub_SEX_M,both_SEX_F,both_SEX_M,aug_SEX_F,aug_SEX_M,matched_weight_SEX_F,matched_weight_SEX_M,matched_codes_SEX_F,matched_codes_SEX_M,exposed_gap_pp,sub_gap_pp,both_gap_pp,aug_gap_pp,domain,unit_note
AGO,Angola,Lower middle income,2024,0.26720924721384387,0.259871586162234,0.12900304377763203,0.1173276913602583,0.13778571053656385,0.13875412048376703,4.204928996479339e-4,0.0037897743182086956,0.9999999999999999,1.0000000000000004,50,72,0.7337661051609878,1.1675352417373732,-0.09684099472031804,-0.33692814185607617,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
ARE,United Arab Emirates,High income,2023,0.5749864544365423,0.5930742991004816,0.21406868226120015,0.2576845612499936,0.3322506433461243,0.29659561203985046,0.028650401167963562,0.03878581424988683,1.0000000000000002,1.0000000000000004,77,85,-1.8087844663939312,-4.361587898879346,3.565503130627384,-1.0135413081923266,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
ARG,Argentina,Upper middle income,2024,0.5427573402810187,0.554594152621675,0.24121379378757826,0.254262753164019,0.28326215617662875,0.27073564124047966,0.018281390316811752,0.029595758217176596,1.0000000000000007,0.9999999999999992,78,80,-1.1836812340656255,-1.304895937644071,1.2526514936149091,-1.1314367900364843,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
AUS,Australia,High income,2024,0.5444233377172009,0.59898789616435,0.21862270240091583,0.2500220904632058,0.30299342119165923,0.3104744451820824,0.02273581800362547,0.038433709445270046,1,1,82,81,-5.456455844714913,-3.139938806228995,-0.7481023990423163,-1.5697891441644578,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
AUT,Austria,High income,2024,0.5626901872708707,0.6119008522469331,0.2354803942279436,0.2555348261493687,0.3005679992091777,0.31575609604446375,0.026641793833749487,0.04060993005310081,0.9999999999999994,0.9999999999999999,80,83,-4.921066497606241,-2.0054431921425087,-1.5188096835286047,-1.3968136219351324,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
BEL,Belgium,High income,2024,0.5468048225092438,0.62342187098949,0.21894635472976706,0.27101908316776824,0.2876857023832183,0.30789630299053294,0.039947148766960566,0.04431893809722892,1,1,67,75,-7.66170484802462,-5.2072728438001175,-2.0210600607314664,-0.4371789330268355,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
BFA,Burkina Faso,Low income,2018,0.1624930620178579,0.13069548975757272,0.0958803682432186,0.05944568612674285,0.0569511685570376,0.05035040052616308,0.009661525217601745,0.02089940310466681,1.0000000000000002,0.9999999999999999,41,67,3.179757226028518,3.6434682116475754,0.6600768030874518,-1.1237877887065066,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
BGD,Bangladesh,Lower middle income,2024,0.2510927236996275,0.3188125094643824,0.13394085428114902,0.15923919643882112,0.10239222027503735,0.14795114635017786,0.014759649143441057,0.011622166675383329,1.0000000000000007,1,57,76,-6.77197857647549,-2.52983421576721,-4.555892607514052,0.31374824680577285,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
BGR,Bulgaria,High income,2024,0.6454380302571047,0.6434633368967921,0.2683025280867993,0.2551598963239332,0.3081602118438998,0.3066857488878473,0.06897529032640558,0.0816176916850116,1.0000000000000002,1.0000000000000009,58,63,0.19746933603125294,1.3142631762866064,0.14744629560525246,-1.2642401358606017,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
BLR,Belarus,Upper middle income,2024,0.5798441239669097,0.6049197269169672,0.25825296869465,0.2774172694792504,0.2895540025292878,0.2805547142835949,0.03203715274297182,0.04694774315412222,1.0000000000000002,0.9999999999999998,80,81,-2.5075602950057507,-1.9164300784600408,0.8999288245692905,-1.49105904111504,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
BOL,Bolivia,Lower middle income,2024,0.32656501713194713,0.3259415718140826,0.15031578245396202,0.13350165512943327,0.15757805550853085,0.16374827628401983,0.01867117916945414,0.028691640400629513,1.0000000000000002,0.9999999999999994,73,79,0.062344531786451274,1.681412732452875,-0.6170220775488983,-1.0020461231175373,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
BRA,Brazil,Upper middle income,2024,0.5609058661304117,0.5816856553797526,0.26190581951826847,0.2804270056102943,0.28448995859052,0.2766140696905171,0.014093748924962323,0.024518170843316107,1.0000000000000002,1.0000000000000002,86,87,-2.0779789249340874,-1.8521186092025854,0.7875888900002903,-1.0424421918353783,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
CHE,Switzerland,High income,2024,0.5249096933594194,0.5929484922129943,0.2213967574076349,0.25583316532187494,0.27101888671892105,0.29995694499972037,0.03249404923286388,0.03715838189139925,0.9999999999999999,1,76,80,-6.803879885357489,-3.443640791424005,-2.8938058280799317,-0.4664332658535372,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
CHL,Chile,High income,2020,0.5440830296478224,0.5739636165676992,0.24797819606031357,0.24470759052197325,0.2771216187847899,0.28182672115240753,0.018983214802718685,0.047429304893318744,0.9999999999999999,1.0000000000000004,73,79,-2.988058691987683,0.32706055383403265,-0.47051023676176196,-2.844609009060006,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
COL,Colombia,Upper middle income,2024,0.50684121912529,0.5168493426841329,0.23865722231174644,0.22651994015229016,0.2524813317654038,0.26630988310452436,0.015702665048139833,0.02401951942731828,1.0000000000000002,0.9999999999999998,86,87,-1.000812355884284,1.2137282159456282,-1.3828551339120532,-0.8316854379178448,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
CRI,Costa Rica,High income,2024,0.593176981215733,0.6146919301416627,0.25159359506336554,0.2555240058634458,0.2804120400881642,0.29058379679942475,0.06117134606420343,0.0685841274787923,0.9999999999999998,0.9999999999999993,67,78,-2.1514948925929644,-0.3930410800080275,-1.0171756711260527,-0.7412781414588877,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
CZE,Czechia,High income,2024,0.5683708307962334,0.5950868306485835,0.2540341084054004,0.278574733242766,0.28756098487030235,0.28044134675685967,0.02677573752053078,0.036070750648957595,0.9999999999999992,1.0000000000000007,76,80,-2.671599985235007,-2.454062483736558,0.7119638113442683,-0.9295013128426816,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
DEU,Germany,High income,2024,0.5482564983794876,0.6298311900685634,0.22526425314720788,0.27580823228765583,0.28946001953200523,0.3139577065217923,0.03353222570027497,0.04006525125911563,0.9999999999999999,1,73,77,-8.157469168907571,-5.054397914044795,-2.449768698978705,-0.6533025558840659,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
DNK,Denmark,High income,2024,0.5401196131788647,0.635861574947905,0.23956227636686625,0.290031432893089,0.2603627932720436,0.3040122956905458,0.04019454353995499,0.04181784636427043,1,1,55,71,-9.574196176904026,-5.046915652622277,-4.364950241850218,-0.16233028243154424,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
DOM,Dominican Republic,Upper middle income,2024,0.5031411741205264,0.49337650562384766,0.25944315294296894,0.2177395922712182,0.21009780936150108,0.22316759478297696,0.03360021181605658,0.05246931856965269,1.0000000000000002,0.9999999999999997,61,74,0.976466849667873,4.170356067175074,-1.3069785421475881,-1.8869106753596105,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
ECU,Ecuador,Upper middle income,2024,0.47442298748028106,0.47819013661592435,0.20380779331104257,0.18405887844509888,0.2345140263876262,0.23953371125891584,0.03610116778161199,0.054597546911909677,1,0.9999999999999996,82,86,-0.37671491356432996,1.9748914865943683,-0.5019684871289648,-1.8496379130297689,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
EGY,"Egypt, Arab Rep.",Lower middle income,2024,0.4768216149460578,0.46995673508175345,0.20624233241948042,0.21917618479196418,0.2549020364222479,0.22309317030464057,0.01567724610432941,0.0276873799851486,0.9999999999999998,0.9999999999999999,69,82,0.6864879864304341,-1.2933852372483763,3.1808866117607333,-1.2010133880819192,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
ESP,Spain,High income,2024,0.5713100012223475,0.6087870759103909,0.24509005861705696,0.269950284569931,0.29249697748213593,0.3024556681919292,0.03372296512315493,0.03638112314853064,1.0000000000000004,1.0000000000000002,84,86,-3.74770746880434,-2.4860225952874018,-0.9958690709793272,-0.2658158025375709,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
ETH,Ethiopia,Not classified,2021,0.13258854855978972,0.11479941287293623,0.060423029107103385,0.05684200580590556,0.07081147340795661,0.05587500561481606,0.0013540460447296887,0.002082401452214605,0.9999999999999993,1.0000000000000002,77,86,1.7789135686853488,0.35810233011978265,1.4936467793140555,-0.07283554074849162,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
FIN,Finland,High income,2024,0.5123811510653946,0.6236088654408346,0.22598191478462273,0.27969639280569886,0.2579485569450058,0.29891538855485106,0.02845067933576597,0.044997084080285,0.9999999999999998,0.9999999999999996,52,65,-11.122771437544,-5.371447802107612,-4.096683160984527,-1.654640474451903,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
FRA,France,High income,2024,0.5601385621243361,0.611272332999036,0.22314245015684595,0.2626885715963027,0.3059884367109567,0.3125803678040645,0.031007675256533376,0.036003393598668575,0.9999999999999998,1.0000000000000002,83,85,-5.113377087469995,-3.9546121439456767,-0.6591931093107795,-0.4995718342135198,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
GBR,United Kingdom,High income,2024,0.5375051281712218,0.598984063897613,0.2047606587633242,0.24397310217585608,0.29763994342751904,0.3174577079262675,0.0351045259803785,0.037553253795489634,0.9999999999999998,0.9999999999999996,85,86,-6.147893572639129,-3.921244341253188,-1.9817764498748447,-0.2448727815111136,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
GRC,Greece,High income,2024,0.5681932758997366,0.5855872700372338,0.25296078475554423,0.25654975908866534,0.2859180851425542,0.2895322516092568,0.029314406001637924,0.03950525933931186,0.9999999999999996,1.0000000000000002,79,85,-1.7393994137497204,-0.3588974333121109,-0.3614166466702595,-1.0190853337673933,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
GTM,Guatemala,Upper middle income,2024,0.4199058232137326,0.37318068719577074,0.1956596995002831,0.16894005012001523,0.19808035989427017,0.16889210040675004,0.026165763819179386,0.03534853666900562,0.9999999999999999,1.0000000000000004,61,69,4.672513601796186,2.6719649380267887,2.918825948752013,-0.9182772849826236,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
HND,Honduras,Lower middle income,2019,0.4515980034844685,0.38339097323835536,0.21356456165952872,0.15771834568269005,0.2141534680272043,0.20125304315565248,0.023879973797735505,0.02441958440001273,1.0000000000000002,0.9999999999999999,43,61,6.820703024611313,5.584621597683867,1.2900424871551825,-0.0539610602277224,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
HRV,Croatia,High income,2024,0.6248216820907769,0.623718250011352,0.27609573358935297,0.2697802014165195,0.28298788598604463,0.27161566907848894,0.0657380625153792,0.08232237951634382,0.9999999999999999,1.0000000000000002,74,76,0.11034320794249819,0.6315532172833482,1.1372216907555688,-1.658431700096462,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
HUN,Hungary,High income,2024,0.569572463682204,0.5891184326447021,0.2500791886171627,0.269701457702059,0.2991151149253932,0.2914972061368917,0.020378160139648067,0.02791976880575127,0.9999999999999997,1.0000000000000002,69,73,-1.954596896249805,-1.9622269084896282,0.7617908788501548,-0.7541608666103202,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
IDN,Indonesia,Upper middle income,2023,0.4909961470285007,0.47081578740635943,0.22975955201909196,0.2069295060389591,0.24803445209433184,0.24038610512868264,0.01320214291507703,0.023500176238717613,1.0000000000000002,1.0000000000000007,85,88,2.0180359622141264,2.2830045980132856,0.76483469656492,-1.0298033323640583,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
IND,India,Lower middle income,2024,0.45808403872629405,0.46667047628620867,0.20622384230415305,0.1973929120459481,0.2208337318444892,0.24371452890264025,0.031026464577651763,0.02556303533762015,1.000000000000001,1,81,86,-0.8586437559914617,0.8830930258204944,-2.288079705815105,0.5463429240031615,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
IRL,Ireland,High income,2019,0.5504196562092373,0.6074111010365614,0.2405746837035907,0.27489453524999324,0.28341050136152857,0.2970927904517653,0.026434471144118128,0.035423775334802704,1,0.9999999999999998,40,55,-5.69914448273241,-3.4319851546402544,-1.3682289090236721,-0.8989304190684576,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
IRN,"Iran, Islamic Rep.",Upper middle income,2024,0.4898758654884864,0.48602112315158397,0.24972818853806544,0.24491149699701348,0.22281889886636372,0.22516598829319634,0.017328778084057556,0.015943637861374246,1.0000000000000002,0.9999999999999999,76,85,0.3854742336902417,0.4816691541051965,-0.23470894268326215,0.13851402226833093,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
ISR,Israel,High income,2024,0.5437469898429729,0.5959558094955683,0.21503599670519105,0.25610412985776326,0.29657240664087214,0.3080105511000335,0.03213858649690977,0.03184112853777144,0.9999999999999999,0.9999999999999998,78,83,-5.220881965259538,-4.106813315257221,-1.143814445916136,0.02974579591383253,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
ITA,Italy,High income,2024,0.5570918213622745,0.5963416292996021,0.24072184316267067,0.27096808632433195,0.29089865193251546,0.2922155686967161,0.025471326267088396,0.033157974278553916,0.9999999999999993,0.9999999999999999,81,86,-3.9249807937327574,-3.0246243161661273,-0.13169167642006485,-0.768664801146552,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
JOR,Jordan,Lower middle income,2023,0.48220407442856433,0.5115447522121862,0.15864434421189547,0.19251069687335678,0.2719573116000223,0.2620372431243153,0.05160241861664665,0.056996812214514185,1,1,56,71,-2.934067778362187,-3.386635266146132,0.9920068475706978,-0.5394393597867537,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
JPN,Japan,High income,2023,0.6189150197730255,0.6846923958288933,0.29699092469344,0.32799736158773596,0.2863639470948975,0.31084355027935423,0.03556014798468793,0.045851483961803406,0.9999999999999998,1.0000000000000004,56,56,-6.577737605586775,-3.100643689429594,-2.4479603184456744,-1.0291335977115477,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
KEN,Kenya,Lower middle income,2022,0.40771676508154014,0.36923988559701876,0.137172952892112,0.12544279231126979,0.2306416731309853,0.2108363439326917,0.03990213905844286,0.03296074935305711,1.0000000000000007,0.9999999999999994,51,72,3.8476879484521387,1.1730160580842224,1.9805329198293586,0.6941389705385749,Industry ISIC-2,country x sex; ISIC Rev.4 2-digit all-economy employment weights
