iso3,country_name,income_level,ilostat_year,exposed_SEX_F,exposed_SEX_M,sub_SEX_F,sub_SEX_M,both_SEX_F,both_SEX_M,aug_SEX_F,aug_SEX_M,matched_weight_SEX_F,matched_weight_SEX_M,matched_codes_SEX_F,matched_codes_SEX_M,exposed_gap_pp,sub_gap_pp,both_gap_pp,aug_gap_pp,domain,unit_note
AFG,Afghanistan,Low income,2020,0.0960003134694565,0.11167910023654652,0.05571218914797475,0.06615585774522464,0.03545685552789581,0.04058734527758528,0.004831268793585953,0.004935897213736566,0.9506317093011432,0.9343913180370561,20,41,-1.5678786767090016,-1.044366859724989,-0.5130489749689465,-0.010462842015061292,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
AGO,Angola,Lower middle income,2024,0.3131700182133731,0.2693800972630114,0.17143911526303524,0.12742315294416315,0.13790687878167562,0.13436963185877712,0.0038240241686621572,0.007587312460071251,0.554061009397002,0.6368361054292163,37,42,4.378992095036171,4.401596231887209,0.35372469228985015,-0.37632882914090937,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
ARE,United Arab Emirates,High income,2022,0.5756978883129771,0.5678028966390616,0.29424093633436155,0.254247558962928,0.24479228014434948,0.2778230843675166,0.03666467183426599,0.03573225330861705,0.9999999999999999,0.9993340313820718,32,41,0.7894991673915497,3.999337737143355,-3.303080422316715,0.09324185256489453,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
ARG,Argentina,Upper middle income,2024,0.5485526217834658,0.5363417927817665,0.29106445039020135,0.2711953223257803,0.23169155958713925,0.24057683194996085,0.025796611806125174,0.02456963850602541,0.9999999999999998,0.9999999999999996,36,38,1.221082900169923,1.9869128064421038,-0.8885272362821606,0.12269733000997637,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
AUS,Australia,High income,2024,0.5943966473598252,0.5915386236933825,0.2554112400275584,0.23884968697816095,0.29270371376126697,0.30694503551978336,0.04628169357099985,0.04574390119543828,1,0.9999999999999997,41,41,0.28580236664427217,1.6561553049397437,-1.424132175851639,0.05377923755615702,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
AUT,Austria,High income,2024,0.5912043204866627,0.5947474918362033,0.2711043090594254,0.23801531236093174,0.27874959654806836,0.3103095421804212,0.041350414879169003,0.04642263729485036,1.0000000000000002,1.0000000000000004,39,42,-0.35431713495406303,3.308899669849366,-3.155994563235287,-0.5072222415681359,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
BDI,Burundi,Low income,2020,0.07343711356462995,0.06235433945336602,0.04494245826051652,0.03894410822789609,0.024944217390793385,0.020859493902704414,0.003550437913320038,0.0025507373227655,0.12988432803740904,0.29032747436227035,29,36,1.108277411126393,0.5998350032620434,0.40847234880889705,0.09997005905545381,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
BEL,Belgium,High income,2024,0.5900675317419067,0.6047783053615651,0.2668731668025832,0.2457996747658141,0.2777869259382099,0.31076129065096714,0.04540743900111361,0.04821733994478391,0.9999999999999998,1,36,41,-1.4710773619658335,2.1073492036769115,-3.297436471275722,-0.2809900943670299,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
BEN,Benin,Lower middle income,2022,0.23496824918516293,0.1744696361906145,0.11925247942504175,0.07397697392180906,0.10188347711148268,0.07972996435365715,0.013832292648638483,0.020762697915148256,0.8982595046445762,0.8532712751566071,25,41,6.049861299454842,4.5275505503232685,2.2153512757825538,-0.6930405266509774,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
BFA,Burkina Faso,Low income,2024,0.15197459733292576,0.12862930553560264,0.08116691517792989,0.061919935787871604,0.06479453071696772,0.05891648205572658,0.006013151438028242,0.00779288769200449,0.4609465213649133,0.4961847523795976,25,36,2.3345291797323116,1.924697939005828,0.5878048661241142,-0.17797362539762485,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
BGD,Bangladesh,Lower middle income,2024,0.23728813452072325,0.2922171055645252,0.07543772110438017,0.12685390952897604,0.15658634532918955,0.15801465576979165,0.005264068087153601,0.007348540265757415,0.9989480710235228,0.9980511749050738,38,41,-5.492897104380193,-5.141618842459588,-0.14283104406020986,-0.20844721786038137,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
BGR,Bulgaria,High income,2024,0.6339284315509188,0.5980365021571563,0.2699409577607797,0.24757762765461805,0.29134960126802645,0.2856163553261466,0.07263787252211283,0.06484251917639161,0.9999999999999998,0.9999999999999998,40,42,3.589192939376251,2.236333010616165,0.573324594187985,0.7795353345721221,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
BLR,Belarus,Upper middle income,2024,0.5767218600287966,0.5467496088212854,0.22231232579912197,0.2305421729036286,0.2850291002031222,0.25946266553636654,0.06938043402655239,0.0567447703812903,0.9999999999999999,1,38,37,2.9972251207511125,-0.8229847104506638,2.5566434666755677,1.2635663645262092,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
BOL,Bolivia,Lower middle income,2024,0.34210325165465616,0.3104979710727348,0.14188143587137295,0.12208870699848667,0.17478265001081117,0.161984310264616,0.02543916577247216,0.026424953809632275,0.9999999999999999,1.0000000000000004,39,40,3.160528058192136,1.9792728872886274,1.279833974619518,-0.09857880371601166,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
